,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
2246,2017M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,92680.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,3.08
2247,2017M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,128171.54,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,3.08
2248,2017M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,140096.88,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.08
2249,2017M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,61376.4,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,3.08
2259,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1560.39,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08
2260,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1575.0,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08
2261,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2060.76,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08
2262,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2591.54,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08
2263,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4220.26,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.08
2264,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5761.96,LIQUIGAS SPA,DEPT OF THE ARMY,3.08
2265,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,13510.0,THREE MULES WELDING SUPPLIES,DEPT OF THE NAVY,3.08
2266,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,23684.27,"PYRAMID TECHNOLOGIES, LLC",DEPT OF THE ARMY,3.08
2267,2017M04,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1800.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.08
2335,2017M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,7736.0,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,3.08
2336,2017M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,10548.96,"COLONIAL FUEL AND LUBRICANT SERVICES, INC.COLONIAL FUEL AND LUBRICANT SERVICES, INC.",U.S. COAST GUARDU.S. COAST GUARD,3.08
2337,2017M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",12284.48,PINNACLE FUEL COMPLIANCE SERVI,FEDERAL AVIATION ADMINISTRATION,3.08
2338,2017M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,40064426.17,"POND CONSTRUCTORS, INC",DEFENSE LOGISTICS AGENCY,3.08
2339,2017M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,44576.0,"MARK J. TRAUT WELLS, INC",US GEOLOGICAL SURVEY,3.08
2373,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,9982.27,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.12
2374,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55590.96,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.12
2375,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,65582.69,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,3.12
2376,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,68751.92,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.12
2377,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,75526.1,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12
2378,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,97016.22,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.12
2379,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,105048.6,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,3.12
2380,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,128963.27,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12
2381,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,161881.75,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12
2382,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,190604.44,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12
2383,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196083.61,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12
2384,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,213062.36,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12
2385,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,387460.0,"TWIN EAGLE RESOURCE MANAGEMENT, LLC",DEFENSE LOGISTICS AGENCY,3.12
2386,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,419567.5,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,3.12
2387,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1302223.19,"INTERCONN RESOURCES, LLC",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,3.12
2388,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,16174911.4,"CENTERPOINT ENERGY SERVICES, INC.","ENERGY, DEPARTMENT OF",3.12
2389,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- OTHER,257744.82,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,3.12
2411,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150.78,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.12
2412,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3087.27,LIQUIGAS SPA,DEPT OF THE ARMY,3.12
2413,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,7034.27,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.12
2414,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.12
2415,2017M05,NATURAL GAS LIQUID EXTRACTION,INFORMATION TECHNOLOGY SOFTWARE,52694.02,BAR NONE TECHNOLOGIES LLC,DEPT OF THE NAVY,3.12
2416,2017M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",3875.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.12
2417,2017M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11473.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,3.12
2477,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,3249.97,"CORE ENGINEERED SOLUTIONS, INC.",FEDERAL BUREAU OF INVESTIGATION,3.12
2478,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",2958.84,DETES BURO FUR DEPONIETECHNISCHE SYSTEME GMBH,DEPT OF THE ARMY,3.12
2479,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,542491.46,"POND CONSTRUCTORS, INC",DEFENSE LOGISTICS AGENCY,3.12
2480,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",11711.1,MISCELLANEOUS FOREIGN AWARDEES,AGENCY FOR INTERNATIONAL DEVELOPMENT,3.12
2481,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER ENVIRONMENTAL SERVICES,129000.0,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",3.12
2482,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,UTILITIES- GAS,4966.46,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.12
2544,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,186319.12,REDD ENGINEERING & CONSTRUCTION INC,BUREAU OF LAND MANAGEMENT,2.94
2545,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,2532.0,GLENN OIL COMPANY LLC,DEPT OF THE ARMY,2.94
2546,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7407.16,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.94
2547,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.94
2548,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.08,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.94
2549,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24472.8,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.94
2550,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,37679.46,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.94
2551,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,49972.22,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.94
2552,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,56556.07,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.94
2553,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,91020.29,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.94
2554,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,107197.86,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.94
2555,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,421086.52,"DIRECT ENERGY BUSINESS MARKETING, LLC",INTERNAL REVENUE SERVICE,2.94
2556,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,533775.0,GAS SOUTH LLC,DEPT OF THE AIR FORCE,2.94
2557,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,600000.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.94
2558,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,2032244.79,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.94
2559,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,2056949.15,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.94
2592,2017M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4938.82,LIQUIGAS SPA,DEPT OF THE ARMY,2.94
2593,2017M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,23500.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.94
2668,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6427.5,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.94
2669,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL,32000.0,"LAKE TOW, INC.",DEPT OF THE ARMY,2.94
2670,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,25349.75,"MARK J. TRAUT WELLS, INC",US GEOLOGICAL SURVEY,2.94
2671,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,58871.0,"MARK J. TRAUT WELLS, INC",US GEOLOGICAL SURVEY,2.94
2672,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- MANAGEMENT: DATA COLLECTION,24910.0,PAC SEIS,US GEOLOGICAL SURVEY,2.94
2719,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,5108.18,GLENN OIL COMPANY LLC,DEPT OF THE ARMY,2.96
2720,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7140.91,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.96
2721,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,9499.25,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.96
2722,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"IGI RESOURCES, INC.TIGER NATURAL GAS, INC.CENTERPOINT ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.96
2723,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.4,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.96
2724,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1099.08,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96
2725,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2199.78,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96
2726,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,20418.48,"TALEN ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.96
2727,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42527.88,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.96
2728,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,162719.71,GAS SOUTH LLC,FEDERAL LAW ENFORCEMENT TRAINING CENTER,2.96
2729,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,178056.88,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.96
2730,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,299180.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.96
2731,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",61376.46,"HY-TEST INDUSTRIES, LLC",DEFENSE LOGISTICS AGENCY,2.96
2732,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,4753.32,"DUKE ENERGY CAROLINAS, LLC",NATIONAL INSTITUTES OF HEALTH,2.96
2733,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,104344.24,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96
2734,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,6477.67,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.96
2755,2017M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.96
2756,2017M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4938.82,LIQUIGAS SPA,DEPT OF THE ARMY,2.96
2757,2017M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",300.0,"AMERIGAS PROPANE, L.P.AMERIGAS PROPANE, L.P.",DEPT OF THE ARMYDEPT OF THE ARMY,2.96
2758,2017M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11035.49,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.96
2808,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,3862.5,HEATH CONSULTANTS INCORPORATED,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.96
2809,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- TOXIC AND HAZARDOUS SUBSTANCE ANALYSIS,19978.0,"LEAK DETECTION SERVICE, INC.",DEPT OF THE AIR FORCE,2.96
2810,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",20575.0,BCI-QRI JV,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,2.96
2811,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,0.0,MUD LAKE OIL INC,FOREST SERVICE,2.96
2812,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,59125.0,"OIL MANAGEMENT SERVICES, CORP.","VETERANS AFFAIRS, DEPARTMENT OF",2.96
2813,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,45061149.62,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,DEFENSE LOGISTICS AGENCY,2.96
2814,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,472699.06,"SEOKWANG DEVELOPMENT CO., LTD",DEPT OF THE ARMY,2.96
2815,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SALVAGE- DEMOLITION OF STRUCTURES/FACILITIES (OTHER THAN BUILDINGS),58567.0,"TALIB SYED AND ASSOCIATES, INC.",BUREAU OF LAND MANAGEMENT,2.96
2816,2017M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,553476.0,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.96
2878,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7377.38,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.88
2879,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7605.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.88
2880,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,14041.27,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.88
2881,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,33787.58,"SELDOVIA FUEL AND LUBE, INC.",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,2.88
2882,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"TIGER NATURAL GAS, INC.DIRECT ENERGY BUSINESS MARKETING, LLCSAGE ENERGY TRADING, LLCCENTERPOINT ENERGY SERVICES, INC.CONSTELLATION NEWENERGY - GAS DIVISION, LLCCENTERPOINT ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEPT OF THE ARMYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.88
2883,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1284.0,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.88
2884,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,13634.46,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.88
2885,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,16546.88,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.88
2886,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,21820.49,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.88
2887,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,43151.13,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.88
2888,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,146668.71,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.88
2889,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,229900.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.88
2890,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",6915.38,"RYZHKA INTERNATIONAL, LLC",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,2.88
2891,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,16739.64,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.88
2921,2017M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.88
2922,2017M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4938.82,LIQUIGAS SPALIQUIGAS SPA,DEPT OF THE ARMYDEPT OF THE ARMY,2.88
2923,2017M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",18748.24,"MULTIMARINE SERVICES, INC.",DEPT OF THE NAVY,2.88
2924,2017M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",300.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.88
2925,2017M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",4425.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.88
3009,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",2073.41,UNIK ARQUITECTURA SAS,DEPT OF THE ARMY,2.88
3010,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",840254.0,HURTVET SUBCONTRACTING LLC,DEPT OF THE ARMY,2.88
3011,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,4703.44,AIRGAS USA LLC,DEPT OF THE NAVY,2.88
3012,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,12478.68,"J & K SERVICES, LLC",FEDERAL AVIATION ADMINISTRATION,2.88
3013,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,IT AND TELECOM- WEB-BASED SUBSCRIPTION,1553677.08,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",2.88
3014,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2730.0,MARCUM OIL CO INC,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.88
