,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
6487,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,1742204.14,"TIGER NATURAL GAS, INC.",DEPT OF THE AIR FORCE,2.4
6488,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.4
6489,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,119.18,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.4
6490,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,145.19,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.4
6491,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4
6492,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4800.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.4
6493,2019M06,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.4
6537,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EQUIPMENT AND MATERIALS TESTING- CHEMICALS AND CHEMICAL PRODUCTS,2830.0,SOUTHERN CROSS CORP.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.4
6538,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,16353.06,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.4
6539,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,29426.56,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.4
6540,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,19990.0,"DELMAR SYSTEMS, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.4
6541,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PIPE, TUBING, HOSE, AND FITTINGS",24700.0,"NEIL NAKAI, INCORPORATED",DEPT OF THE ARMY,2.4
6542,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF SEWAGE AND WASTE FACILITIES,840000.0,"NIKKEN SOGYO CO.,LTD.",DEPT OF THE NAVY,2.4
6583,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24899.54,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.36
6584,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,26093.58,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.36
6585,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35913.44,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.36
6586,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,32310.98,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.36
