naics_description,product_or_service_code_description,award_base_action_date,total_obligated_amount
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,225.9
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,677.7
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,903.6
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,1506.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,3012.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,6024.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M10,55350.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,149.9
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,674.55
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,749.25
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,4995.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,8325.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,21491.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,24053.4
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M11,162400.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M12,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M12,20160.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M12,180970.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,12820.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,42735.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,87000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,92613.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,98610.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,108000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,119400.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,125839.92
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M01,205200.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,5996.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,7495.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,17702.3
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,140595.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,203200.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,205300.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,214500.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,225700.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M02,234000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,4500.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,17362.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,22277.11
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,48555.57
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,64760.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,188925.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,231848.3
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M03,324800.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M04,15000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M04,19979.1
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M04,65300.27
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M04,117888.79
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,359.76
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,449.7
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,499.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,674.55
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,899.4
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,8244.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,38367.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,64420.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,71807.99
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,90287.93
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M05,330500.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,1665.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,2497.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,2500.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,14515.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,41625.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,97082.76
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,114000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,806.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,21199.12
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,49809.31
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,56511.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,58727.97
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M07,710661.9
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,359.76
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,674.55
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,749.25
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,799.2
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,832.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,899.4
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,1199.2
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,1665.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,3330.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,16349.42
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,20088.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,50625.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,67956.26
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,186686.89
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,210000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M08,214096.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,4162.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,11400.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,17160.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,21530.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,99936.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,99995.82
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,101619.67
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,133200.94
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,188514.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M09,315983.7
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M11,16875.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M11,280000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M12,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M12,70000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M12,100170.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M01,59895.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M01,98706.97
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M01,141750.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M01,211418.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M02,8406.07
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M02,101904.63
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M02,340000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M03,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M03,69854.27
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M03,212073.52
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M03,234025.12
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M03,240000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,50000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,96030.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,107000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,141750.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,157221.62
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,323000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,50000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,102425.02
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,141505.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,148550.45
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,779400.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,20202.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,38349.51
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,50000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,86250.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,287173.88
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,334905.23
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,2786000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M07,13214.54
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M07,50000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M07,370000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,26214.18
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,33600.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,43110.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,47735.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,49973.46
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,60662.78
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,87850.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,1864089.22
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,1290.48
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,4995.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,18000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,21766.68
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,24767.6
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,25000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,41412.58
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,50000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,57319.29
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,92651.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,102982.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,117295.67
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,151232.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,349944.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,458342.09
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M09,699975.6
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M10,237800.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M10,239850.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M11,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M11,11592.49
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M11,94436.5
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M11,102500.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M11,150000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M12,256800.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M01,7054.32
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M01,47250.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M01,52572.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M01,215830.4
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M02,0.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M02,440310.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M03,134400.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M03,300000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,32970.18
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,188700.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,287000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,360000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,21204.85
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,21581.55
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,26887.17
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,34211.46
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,40922.25
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,89450.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,124000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,199569.35
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,400000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M05,500856.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,24990.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,31054.22
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,119000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,277315.42
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,285800.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,298000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,313474.99
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M06,450000.0
OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M07,18316.54
