total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
0.0,2021M08,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCY
6638.0,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
365741.0,2020M02,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GEBAL AL-SAADA,DEPT OF THE ARMY
234000.0,2019M02,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
8762.44,2017M07,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
93756.53,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
7264.95,2020M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
25151.64,2020M09,ARCHITECT AND ENGINEERING- CONSTRUCTION: MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELANEOS SECURITY SERVICES SOCIEDAD ANONIMA,"STATE, DEPARTMENT OF"
375.0,2017M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,M & V FABRICATIONS INC,DEFENSE LOGISTICS AGENCY
5765.0,2018M05,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
2.26,2016M09,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"OSHKOSH DEFENSE, LLC",DEFENSE LOGISTICS AGENCY
196.0,2021M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
5208.84,2019M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
1192.0,2021M06,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,L. A. MARTIN COMPANY,DEFENSE LOGISTICS AGENCY
41625.0,2019M06,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
35952.19,2019M10,"MINERALS, NATURAL AND SYNTHETIC",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,ECOLOGY MIR GROUP LLC,DEPT OF THE ARMY
29388.92,2021M04,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION,DEFENSE LOGISTICS AGENCY
450.6,2019M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
92800.0,2016M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
19299.08,2017M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY
