total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
60031.2,6/23/2015,6/23/2015,6/30/2016 0:00,6/30/2016 0:00,U.S. FISH AND WILDLIFE SERVICE,"NUNLEY TRUCKING CO., INC.",IUKA,TISHOMINGO,MS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
37489,2/12/2018,2/12/2018,5/31/2018 0:00,5/31/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
565.62,1/17/2019,1/17/2019,2/19/2019 0:00,2/19/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
98,3/5/2021,3/5/2021,3/15/2021 0:00,3/15/2021 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
207088.98,11/30/2016,10/24/2016,11/30/2016 0:00,11/30/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,"DELHUR INDUSTRIES, INC.",PORT ANGELES,CLALLAM,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
252861.02,9/15/2021,9/17/2021,12/17/2021 0:00,12/17/2021 0:00,NATIONAL PARK SERVICE,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
1000,9/20/2017,9/20/2017,9/30/2018 0:00,9/30/2018 0:00,DEPT OF THE NAVY,BUSTER'S BUTANE GAS CO INC,CORPUS CHRISTI,NUECES,TX,J091,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
0,8/10/2017,10/1/2017,,,DEFENSE LOGISTICS AGENCY,"DIRECT ENERGY BUSINESS MARKETING, LLC",ISELIN,MIDDLESEX,NJ,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
0,9/28/2015,9/28/2015,,,DEPT OF THE ARMY,"MILLER MATERIALS, INC.",VICKSBURG,WARREN,MS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
13000,7/15/2016,7/15/2016,7/20/2016 0:00,7/20/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
