total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
47.6,10/18/2019,10/18/2019,11/18/2019 0:00,11/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
6537.61,6/13/2016,6/13/2016,6/22/2016 0:00,6/22/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
22936.67,7/2/2014,7/2/2014,7/18/2014 0:00,7/18/2014 0:00,DEPT OF THE ARMY,"GEARHART BROTHERS SERVICES, LLC",LANCASTER,LANCASTER,PA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
10241.91,8/22/2019,8/22/2019,2/27/2020 0:00,2/27/2020 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,CARGILL INCORPORATED,NORTH OLMSTED,CUYAHOGA,OH,9620,"MINERALS, NATURAL AND SYNTHETIC",212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
1521.52,9/25/2019,9/25/2019,10/25/2019 0:00,10/25/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
12278.18,9/21/2020,9/21/2020,10/11/2020 0:00,10/11/2020 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Z1JZ,MAINTENANCE OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
19406.03,10/20/2015,10/20/2015,10/31/2015 0:00,10/31/2015 0:00,DEPT OF THE ARMY,"PPL ENERGY PLUS, LLC",ALLENTOWN,LEHIGH,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
0,3/6/2018,3/8/2018,,,DEPT OF THE AIR FORCE,GEPCO,ARLIT,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
11002.5,1/20/2016,1/20/2016,5/19/2016 0:00,5/19/2016 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
7240,1/11/2020,1/9/2020,1/17/2020 0:00,1/17/2020 0:00,DEPT OF THE ARMY,SAUDI NAVAL SUPPORT CO,RIYADH,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
6945.12,9/26/2019,9/26/2019,10/28/2019 0:00,10/28/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
347.1,8/6/2020,8/6/2020,10/1/2020 0:00,10/1/2020 0:00,DEFENSE LOGISTICS AGENCY,PINES QUALITY INC.,FORT LAUDERDALE,BROWARD,FL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
32721.8,1/16/2020,1/16/2020,2/18/2020 0:00,2/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
8799.07,6/13/2016,2/9/2016,2/9/2016 0:00,2/9/2016 0:00,DEPT OF THE ARMY,STOCKMAN QUARRY L.L.C.,JEFFERSON CITY,COLE,MO,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212311,DIMENSION STONE MINING AND QUARRYING
5754.62,9/25/2017,9/25/2017,11/27/2017 0:00,11/27/2017 0:00,"JUSTICE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
250,9/14/2015,9/14/2015,10/23/2015 0:00,10/23/2015 0:00,U.S. FISH AND WILDLIFE SERVICE,GREEN DREAM INTERNATIONAL LLC,LITTLE ROCK,PULASKI,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
260,8/2/2017,8/2/2017,8/14/2017 0:00,8/14/2017 0:00,DEFENSE LOGISTICS AGENCY,INDIANA AIRCRAFT HARDWARE INC,FORTVILLE,HANCOCK,IN,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
9000,5/10/2016,5/10/2016,12/16/2016 0:00,12/16/2016 0:00,DEFENSE LOGISTICS AGENCY,"VERMONT AEROSPACE INDUSTRIES, LLC",LYNDONVILLE,CALEDONIA,VT,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,1/19/2016,1/19/2016,,,DEFENSE LOGISTICS AGENCY,"ENSPIRE ENERGY, LLC",CHESAPEAKE,CHESAPEAKE (CITY),VA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
64398.21,9/23/2016,9/23/2016,11/11/2016 0:00,11/11/2016 0:00,U.S. FISH AND WILDLIFE SERVICE,"STRUCTURAL HARDWARE AND SUPPLY, INC.",SAN JOSE,SANTA CLARA,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212311,DIMENSION STONE MINING AND QUARRYING
0,10/18/2016,10/18/2016,11/17/2016 0:00,11/17/2016 0:00,DEFENSE LOGISTICS AGENCY,TECHNOFORMERS LLC,SILVER SPRING,MONTGOMERY,MD,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
0,1/18/2019,1/18/2019,7/10/2019 0:00,7/10/2019 0:00,DEFENSE LOGISTICS AGENCY,AW DEVELOPMENTS EXPORTS LTD,NEWPORT,,,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
12175.99,9/16/2015,9/16/2015,4/30/2019 0:00,4/30/2019 0:00,U.S. FISH AND WILDLIFE SERVICE,ANNA QUARRIES INC,ANNA,UNION,IL,Z1LB,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,212311,DIMENSION STONE MINING AND QUARRYING
30635,4/24/2018,4/24/2018,5/25/2018 0:00,5/25/2018 0:00,NATIONAL PARK SERVICE,"COAKLEY COMPANY, INC",HOT SPRINGS NATIONAL PARK,GARLAND,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
31395.87,8/2/2021,5/11/2021,9/30/2021 0:00,9/30/2021 0:00,U.S. FISH AND WILDLIFE SERVICE,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
8858.9,8/14/2017,8/14/2017,8/30/2017 0:00,8/30/2017 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
222.8,6/20/2018,6/20/2018,6/27/2018 0:00,6/27/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
0,7/2/2019,7/2/2019,6/27/2022 0:00,6/27/2022 0:00,FEDERAL ACQUISITION SERVICE,,ROSHARON,BRAZORIA,TX,6850,MISCELLANEOUS CHEMICAL SPECIALTIES,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
0,7/26/2018,8/1/2018,,,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,JOHNSON'S READY MIX CONCRETE PRODUCTS INC,HEBER SPRINGS,CLEBURNE,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
275,5/27/2020,5/27/2020,6/17/2020 0:00,6/17/2020 0:00,DEFENSE LOGISTICS AGENCY,PRO STEEL,ROSEVILLE,MACOMB,MI,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
18987.5,8/15/2016,8/15/2016,6/7/2018 0:00,6/7/2018 0:00,BUREAU OF LAND MANAGEMENT,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,N056,INSTALLATION OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
2249.76,2/14/2017,2/14/2017,11/6/2017 0:00,11/6/2017 0:00,DEFENSE LOGISTICS AGENCY,"PIONEER INDUSTRIES, INC.",FARMINGDALE,SUFFOLK,NY,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
7000,1/29/2018,1/29/2018,1/29/2018 0:00,1/29/2018 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
1574.12,1/31/2019,1/31/2019,5/31/2019 0:00,5/31/2019 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
18921.76,4/26/2016,5/1/2016,5/31/2016 0:00,5/31/2016 0:00,DEPT OF THE ARMY,"PPL ENERGY PLUS, LLC",ALLENTOWN,LEHIGH,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
0,5/1/2019,4/30/2019,,,DEPT OF THE ARMY,"ARCHITECTURAL CONSULTING GROUP OF CHICAGO, INC.",CHICAGO,COOK,IL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
4324,4/29/2019,4/29/2019,10/7/2019 0:00,10/7/2019 0:00,DEFENSE LOGISTICS AGENCY,"EILERS MACHINE & WELDING, INC.",LEXINGTON,DAWSON,NE,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
55853.5,8/17/2021,8/20/2021,3/22/2022 0:00,3/22/2022 0:00,U.S. FISH AND WILDLIFE SERVICE,PATRICK ENVIRONMENTAL GROUP,ATHENS,CLARKE,GA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212392,PHOSPHATE ROCK MINING
4830,2/18/2021,2/18/2021,8/2/2021 0:00,8/2/2021 0:00,DEFENSE LOGISTICS AGENCY,"J.G.B. ENTERPRISES, INC.",LIVERPOOL,ONONDAGA,NY,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
5034,7/26/2016,6/6/2016,6/10/2016 0:00,6/10/2016 0:00,DEPT OF THE ARMY,MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,6810,CHEMICALS,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
131066.66,10/1/2016,10/1/2016,9/30/2017 0:00,9/30/2017 0:00,"VETERANS AFFAIRS, DEPARTMENT OF","SAGE ENERGY TRADING, LLC",JENKS,TULSA,OK,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
174991.4,2/27/2019,2/25/2019,2/27/2019 0:00,3/1/2019 0:00,DEPT OF THE ARMY,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
386.95,10/7/2016,10/7/2016,5/18/2017 0:00,5/18/2017 0:00,DEFENSE LOGISTICS AGENCY,"T & L SALES, LLC",GREAT FALLS,CASCADE,MT,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
24082.5,10/29/2020,10/29/2020,5/12/2021 0:00,5/12/2021 0:00,DEFENSE LOGISTICS AGENCY,"VC DISPLAYS, INC.",BROOKSVILLE,HERNANDO,FL,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
7920,6/21/2018,6/21/2018,9/13/2018 0:00,9/13/2018 0:00,DEFENSE LOGISTICS AGENCY,"KLUNE INDUSTRIES, INC.",SPANISH FORK,UTAH,UT,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
675.28,4/1/2016,4/1/2016,9/19/2016 0:00,9/19/2016 0:00,DEFENSE LOGISTICS AGENCY,"AST ASSOCIATES, INC.",GRISWOLD,NEW LONDON,CT,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
10887.25,7/19/2019,7/19/2019,8/15/2019 0:00,8/15/2019 0:00,DEPT OF THE AIR FORCE,"CRT CRUSHING, INC",PORTALES,ROOSEVELT,NM,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
84615.38,8/9/2016,8/9/2016,11/11/2016 0:00,11/11/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,C1EB,ARCHITECT AND ENGINEERING- CONSTRUCTION: MAINTENANCE BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
9840.87,1/30/2017,1/30/2017,2/6/2017 0:00,2/6/2017 0:00,DEPT OF THE AIR FORCE,DOU'A AL-KUWAIT,HAWALLI,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212399,ALL OTHER NONMETALLIC MINERAL MINING
2099.33,4/17/2018,4/5/2018,4/5/2018 0:00,4/5/2018 0:00,DEPT OF THE ARMY,MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
9700,3/22/2017,3/22/2017,6/30/2017 0:00,6/30/2017 0:00,DEPT OF THE NAVY,"AMERIGAS PROPANE, L.P.",KING OF PRUSSIA,MONTGOMERY,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
42735,1/24/2019,1/24/2019,6/30/2019 0:00,6/30/2019 0:00,U.S. FISH AND WILDLIFE SERVICE,ECOLOGY MIR GROUP LLC,MANASSAS,PRINCE WILLIAM,VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
876.22,1/16/2020,1/16/2020,2/18/2020 0:00,2/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,11/1/2016,11/1/2016,,,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1EZ,CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
2072.4,8/1/2017,8/1/2017,11/29/2017 0:00,11/29/2017 0:00,DEFENSE LOGISTICS AGENCY,G.T. MACHINING & FABRICATING LTD,NAPANEE,,,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
1897.5,3/2/2018,3/2/2018,7/20/2018 0:00,7/20/2018 0:00,DEFENSE LOGISTICS AGENCY,MODULATED METALS INC,CHESTERFIELD,MACOMB,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
6179.32,9/16/2019,9/16/2019,10/16/2019 0:00,10/16/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
16000,3/3/2017,3/3/2017,7/31/2017 0:00,7/31/2017 0:00,CENTERS FOR DISEASE CONTROL AND PREVENTION,"WHYATT, JEFFREY K",SPOKANE,SPOKANE,WA,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,213113,SUPPORT ACTIVITIES FOR COAL MINING
15730,11/15/2019,11/15/2019,12/13/2019 0:00,12/13/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,R499,SUPPORT- PROFESSIONAL: OTHER,212321,CONSTRUCTION SAND AND GRAVEL MINING
49057.77,2/6/2019,2/6/2019,2/22/2019 0:00,2/22/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
14400,10/1/2015,10/1/2015,9/30/2016 0:00,9/30/2016 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,"DIRECT ENERGY BUSINESS MARKETING, LLC",WOODBRIDGE,MIDDLESEX,NJ,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
89450,5/12/2021,5/12/2021,5/13/2021 0:00,5/13/2021 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ERIE,ERIE,PA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
1345,11/7/2018,11/7/2018,1/7/2019 0:00,1/7/2019 0:00,DEFENSE LOGISTICS AGENCY,"TRANSAERO, INC.",MELVILLE,SUFFOLK,NY,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
63100,5/16/2019,5/17/2019,9/14/2019 0:00,9/14/2019 0:00,DEPT OF THE ARMY,"BIGGS, WALTER H",LEBANON,WARREN,OH,Z1KB,MAINTENANCE OF CANALS,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
450,11/7/2017,11/7/2017,11/16/2017 0:00,11/16/2017 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
3587,7/24/2020,7/24/2020,8/24/2020 0:00,8/24/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,2/8/2018,2/8/2018,8/7/2018 0:00,8/7/2018 0:00,DEFENSE LOGISTICS AGENCY,"WARNKE'S MACHINING COMPANY, LLC",ARLINGTON,TARRANT,TX,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
495,11/2/2016,11/2/2016,1/31/2017 0:00,1/31/2017 0:00,DEFENSE LOGISTICS AGENCY,"GREENE METAL PRODUCTS, INC.",CLINTON TOWNSHIP,MACOMB,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
168,5/9/2018,5/9/2018,6/25/2018 0:00,6/25/2018 0:00,DEFENSE LOGISTICS AGENCY,"MONMOUTH MARINE ENGINES, INC.",BRIELLE,MONMOUTH,NJ,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,4/21/2021,5/3/2021,,,U.S. FISH AND WILDLIFE SERVICE,SENECA STONE CORP,PINE CITY,CHEMUNG,NY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
79375.76,5/3/2018,5/3/2018,5/10/2018 0:00,5/10/2018 0:00,DEPT OF THE AIR FORCE,DOU'A AL-KUWAIT,HAWALLI,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212399,ALL OTHER NONMETALLIC MINERAL MINING
98,8/19/2020,8/19/2020,8/29/2020 0:00,8/29/2020 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
252.8,2/9/2018,2/9/2018,2/15/2018 0:00,2/15/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
30900,9/28/2018,10/1/2018,9/30/2019 0:00,9/30/2019 0:00,DEPT OF THE NAVY,"E.M. OIL TRANSPORT, INC.",MONTEBELLO,LOS ANGELES,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
5607.98,11/13/2017,11/13/2017,8/22/2018 0:00,8/22/2018 0:00,DEFENSE LOGISTICS AGENCY,"PIONEER INDUSTRIES, INC.",FARMINGDALE,SUFFOLK,NY,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
19654.31,6/8/2016,6/8/2016,6/10/2016 0:00,6/10/2016 0:00,DEPT OF THE ARMY,AGGREGATE TRANSPORT CORPORATION,HARMANS,ANNE ARUNDEL,MD,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
8461.43,11/29/2017,11/29/2017,11/30/2017 0:00,11/30/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
6433.08,5/15/2018,5/15/2018,1/10/2019 0:00,1/10/2019 0:00,DEFENSE LOGISTICS AGENCY,ARGO TURBOSERVE CORPORATION,VIRGINIA BEACH,VIRGINIA BEACH (CITY),VA,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
99150,7/19/2018,7/19/2018,8/24/2018 0:00,8/24/2018 0:00,DEPT OF THE NAVY,"ROGERS GROUP, INC.",BLOOMINGTON,MONROE,IN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
349944,9/3/2020,9/3/2020,5/31/2021 0:00,5/31/2021 0:00,BUREAU OF RECLAMATION,MD NURSERY LANDSCAPING INC.,DRIGGS,TETON,ID,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
258984,11/2/2015,11/2/2015,11/30/2015 0:00,11/30/2015 0:00,DEFENSE LOGISTICS AGENCY,"WGL ENERGY SERVICES, INC.",HERNDON,FAIRFAX,VA,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
8934,1/31/2017,1/31/2017,2/24/2017 0:00,2/24/2017 0:00,U.S. FISH AND WILDLIFE SERVICE,"PACHECO OIL & GAS CO., INC",MORA,MORA,NM,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
49000,1/31/2018,1/31/2018,4/30/2018 0:00,4/30/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1EB,CONSTRUCTION OF MAINTENANCE BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
23000,6/2/2021,6/2/2021,9/30/2021 0:00,9/30/2021 0:00,AGRICULTURAL RESEARCH SERVICE,KAIS TRUCKING LLC,KURTISTOWN,HAWAII,HI,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
1736.28,11/13/2020,11/13/2020,12/14/2020 0:00,12/14/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
20690.34,7/16/2014,7/16/2014,5/3/2016 0:00,5/3/2016 0:00,DEPT OF THE ARMY,"ALLEN COMPANY, INC., THE",LEXINGTON,FAYETTE,KY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
6507.41,4/20/2021,2/15/2021,4/20/2021 0:00,4/20/2021 0:00,NATIONAL PARK SERVICE,BRUCH AND BRUCH CONSTRUCTION INC,PORT ANGELES,CLALLAM,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
6646.5,5/17/2019,5/17/2019,6/17/2019 0:00,6/17/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
4277,12/12/2017,12/12/2017,4/11/2018 0:00,4/11/2018 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
